,Amount,SUPERVISOR Involved,PRE_APPROVER Involved,DIRECTOR Involved,BUDGET_OWNER Involved,ADMINISTRATOR Involved,Number Of Levels,APPROVED/REJECTED,Throughput Time
declaration 72929,103.36083680296987,1,0,0,0,0,1,1,278641.0
declaration 76275,1277.0839905334874,1,0,0,0,0,1,1,343763.0
declaration 74100,239.65064953953149,1,0,0,0,0,1,1,517764.0
declaration 73271,73.50103950433413,1,0,0,0,0,1,1,282624.0
declaration 76596,1358.911344511285,1,0,1,0,0,2,1,2854088.0
declaration 72605,139.2583191431625,1,0,0,0,0,1,1,883968.0
declaration 143546,173.2158719778691,1,1,0,0,0,2,1,3469533.0
declaration 143558,139.1796047490707,1,1,0,0,0,2,1,3466403.0
declaration 143570,70.13839059493239,1,0,0,0,0,1,1,690920.0
declaration 73051,306.5583650402349,1,0,0,0,0,1,1,591765.0
declaration 76828,116.11685555522203,1,0,0,0,0,1,1,628198.0
declaration 76337,1638.4817597055992,1,1,1,0,0,3,1,712497.0
declaration 76908,1919.957246532397,1,0,1,0,0,2,1,1828902.0
declaration 76606,315.7940805185064,1,0,0,0,0,1,1,340715.0
declaration 75791,602.9403737675983,1,0,0,0,0,1,1,1566328.0
declaration 73869,916.4525723983608,1,1,0,0,0,2,1,611066.0
declaration 73806,2746.04324134554,1,1,0,0,0,2,1,1127403.0
declaration 74038,5397.805464942537,1,0,1,0,0,2,1,1148268.0
declaration 74634,513.0902326403235,1,0,0,0,0,1,1,442013.0
declaration 77904,587.9265064785214,1,0,0,0,0,1,1,2056150.0
declaration 73775,266.5452180554409,1,1,0,0,0,2,1,1061016.0
declaration 72631,374.1739415985759,1,0,0,0,0,1,1,618357.0
declaration 73059,105.17075862180857,1,0,0,0,0,1,1,631016.0
declaration 144609,62.46700412361166,1,0,0,0,0,1,1,289277.0
declaration 144748,216.92411700434678,1,0,0,0,0,1,1,286726.0
declaration 143917,1687.7050236905607,1,0,0,0,0,1,1,3310461.0
declaration 144707,541.9070878324202,1,0,0,0,0,1,1,285835.0
declaration 76047,829.5560176491686,1,0,1,0,0,2,1,624143.0
declaration 76283,1525.3442532655758,1,0,0,0,0,1,1,627262.0
declaration 74056,88.23394089750258,1,0,0,0,0,1,1,1146674.0
declaration 74064,1698.5033622769245,1,0,1,0,0,2,1,546733.0
declaration 73784,463.8420222496397,1,0,0,0,0,1,1,798967.0
declaration 143870,49.13234107202358,1,0,0,0,0,1,1,268520.0
declaration 73879,284.16068219333147,1,1,0,0,0,2,1,362523.0
declaration 144569,764.709302411016,1,0,0,0,0,1,1,607615.0
declaration 144485,1811.2353325125891,1,0,1,0,0,2,1,1154685.0
declaration 73888,534.2568988222456,1,0,0,0,0,1,1,717936.0
declaration 73899,1707.3234948256236,1,0,0,0,0,1,1,893241.0
declaration 74642,1669.9061558176381,1,0,0,0,0,1,1,539425.0
declaration 144964,347.47750760134113,1,0,0,0,0,1,1,1146477.0
declaration 76922,1457.1067471184144,1,0,0,0,0,1,1,523215.0
declaration 76938,159.71269246864074,1,1,0,0,0,2,1,3648526.0
declaration 144364,1307.0304783694519,1,0,1,0,0,2,1,1128892.0
declaration 74110,1304.2455598821934,1,0,1,0,0,2,1,2424660.0
declaration 76240,93.69695000414818,1,0,0,0,0,1,1,446739.0
declaration 74120,521.8603656397789,1,1,0,0,0,2,1,1999979.0
declaration 75799,206.15197049071602,1,1,0,0,0,2,1,1057551.0
declaration 76701,75.63296805234478,1,1,0,0,0,2,1,1736306.0
declaration 144371,478.1515260300803,1,1,0,0,0,2,1,3464082.0
declaration 73820,1774.3280879505871,1,0,0,0,0,1,1,1149485.0
declaration 144269,1769.1151981546711,1,1,0,0,0,2,1,1041111.0
declaration 144803,762.9434389142807,1,0,0,0,0,1,1,1035747.0
declaration 144713,150.06115166462013,1,1,0,0,0,2,1,1027897.0
declaration 73914,71.49503891491838,1,1,0,0,0,2,1,1578981.0
declaration 77397,1621.632784931646,1,1,0,0,0,2,1,371199.0
declaration 74073,2291.4969556565084,1,1,0,0,0,2,1,1654259.0
declaration 72941,1915.4564296000558,1,1,0,0,0,2,1,3213105.0
declaration 76714,656.7652243277629,1,1,0,0,0,2,1,1292010.0
declaration 74135,758.6095334680521,1,1,0,0,0,2,1,2511420.0
declaration 76974,0.0,1,1,0,0,0,2,1,2251617.0
declaration 144771,534.9904530191524,1,0,0,0,0,1,1,363870.0
declaration 74152,228.41272172818083,1,1,0,0,0,2,1,696383.0
declaration 144209,686.3152045621083,1,1,0,0,0,2,1,959199.0
declaration 74279,230.74628476784326,1,0,0,0,0,1,1,544475.0
declaration 143784,4202.316107984793,1,0,0,0,0,1,1,892436.0
declaration 144968,821.0730129790027,1,0,0,0,0,1,1,1494699.0
declaration 144777,817.3811379206438,1,0,0,0,0,1,1,1489289.0
declaration 73923,689.6677478543983,1,0,0,0,0,1,1,283111.0
declaration 144654,248.79908080681832,1,0,0,0,0,1,1,875817.0
declaration 144617,333.0512632328236,1,0,0,0,0,1,1,9311058.0
declaration 74287,1612.9855239860462,1,0,1,0,0,2,1,1126773.0
declaration 73935,64.55806696299429,1,1,0,0,0,2,1,614548.0
declaration 76231,254.32230545846878,1,1,0,0,0,2,1,194807.0
declaration 73071,410.46290253972893,1,1,0,0,0,2,1,785474.0
declaration 144720,70.71778421032319,1,0,0,0,0,1,1,628400.0
declaration 72623,390.5237269291531,1,0,0,0,0,1,1,634080.0
declaration 73963,1024.1285491917586,1,0,0,0,0,1,1,805620.0
declaration 74296,1322.3584970472189,1,0,0,0,0,1,1,620909.0
declaration 72962,245.80984631500644,1,0,0,0,0,1,1,1131099.0
declaration 73080,1910.8674037260005,1,1,0,0,0,2,1,872569.0
declaration 72971,335.4363369354723,1,1,0,0,0,2,1,455878.0
declaration 74305,612.1532135729506,1,1,0,0,0,2,1,627714.0
declaration 74315,36.41341839618685,1,0,0,0,0,1,1,785888.0
declaration 73971,202.07824788723198,1,1,0,0,0,2,1,535330.0
declaration 73089,747.6226227813434,1,1,0,0,0,2,1,1234602.0
declaration 74161,414.58689725592535,1,0,0,0,0,1,1,1225759.0
declaration 72982,261.51279531383057,1,1,0,0,0,2,1,700466.0
declaration 74169,62.403855158476695,1,1,0,0,0,2,1,1499870.0
declaration 74171,1242.27209338735,1,1,0,0,0,2,1,1563777.0
declaration 74650,308.13527744725394,1,1,0,0,0,2,1,868321.0
declaration 77568,420.5935885177308,1,1,0,0,0,2,1,779665.0
declaration 73099,164.85981959107994,1,1,0,0,0,2,1,541363.0
declaration 144845,844.4210170334804,1,1,0,0,0,2,1,1051842.0
declaration 72995,354.04665637970527,1,0,0,0,0,1,1,1741776.0
declaration 144492,3181.6999236745437,1,1,0,0,0,2,1,1043016.0
declaration 77577,2138.75861423529,1,1,0,0,0,2,1,626479.0
declaration 144624,555.7160182181258,1,0,0,0,0,1,1,977710.0
declaration 144905,1635.8117451182084,1,0,0,0,0,1,1,371454.0
declaration 77587,327.33738228760257,1,0,0,0,0,1,1,1035438.0
declaration 74183,453.48546232634135,1,0,0,0,0,1,1,1069254.0
declaration 73288,270.9723222159146,1,1,0,0,0,2,1,886559.0
declaration 143790,0.0,0,0,0,0,0,0,0,0.0
declaration 144216,261.9230523779506,1,0,0,0,0,1,1,603738.0
declaration 73298,367.13990504353666,1,1,0,0,0,2,1,508514.0
declaration 144727,376.39720470645705,1,0,0,0,0,1,1,886237.0
declaration 73981,0.0,1,0,0,0,0,1,0,0.0
declaration 144012,36.65663022441717,1,0,0,0,0,1,1,516845.0
declaration 76863,520.1753287415454,1,1,0,0,0,2,1,527808.0
declaration 75809,748.878270432576,1,0,0,0,0,1,1,634091.0
declaration 76987,217.68212320602,1,1,0,0,0,2,1,539747.0
declaration 144633,1278.168937517266,1,1,0,0,0,2,1,286775.0
declaration 76996,527.1447881594719,1,0,0,0,0,1,1,877028.0
declaration 76624,151.2353341116962,1,1,0,0,0,2,1,1404261.0
declaration 144280,1109.4212289389786,1,1,0,0,0,2,1,605894.0
declaration 144335,53.2748573947276,1,0,0,0,0,1,1,604232.0
declaration 76350,658.7305437004752,1,0,0,0,0,1,1,1031636.0
declaration 67654,242.98179047444404,1,0,0,0,1,2,1,292189.0
declaration 77595,780.5149333431573,1,1,0,0,0,2,1,1271686.0
declaration 144095,452.09664065737087,1,0,0,0,0,1,1,198980.0
declaration 72639,451.5192648022272,1,1,0,0,0,2,1,454811.0
declaration 76873,300.166106025368,1,0,0,0,0,1,1,1231077.0
declaration 144288,252.87798976697366,1,0,0,0,0,1,1,534668.0
declaration 75125,2548.1017184520774,1,0,1,0,0,2,1,932452.0
declaration 144046,1031.2135116631414,1,0,0,0,0,1,1,528118.0
declaration 144342,2211.5341652461943,1,0,0,0,0,1,1,526978.0
declaration 75817,245.5167468350225,1,1,0,0,0,2,1,618575.0
declaration 77607,1211.0163382809926,1,0,1,0,0,2,1,1133683.0
declaration 76254,271.98759595456227,1,1,0,0,0,2,1,1383273.0
declaration 72648,334.29745991134644,1,1,0,0,0,2,1,437663.0
declaration 73160,301.4239269225923,1,1,0,0,0,2,1,871738.0
declaration 77026,56.44865498254377,1,0,0,0,0,1,1,532964.0
declaration 74327,395.06808733579595,1,0,0,0,0,1,1,288624.0
declaration 77126,212.46394231721584,1,0,0,0,0,1,1,539782.0
declaration 144752,997.7724724743895,1,0,0,0,0,1,1,543727.0
declaration 74335,385.0905766994647,1,0,0,0,0,1,1,460757.0
declaration 144050,48.2596352836148,1,0,0,0,0,1,1,509710.0
declaration 144101,13.161718713713126,1,0,0,0,0,1,1,509524.0
declaration 144700,485.33837756817155,1,0,0,0,0,1,1,509232.0
declaration 143795,1802.6070588322937,1,0,1,0,0,2,1,508852.0
declaration 144222,245.6854159893117,1,0,0,0,0,1,1,507064.0
declaration 144643,132.16559208353598,1,0,0,0,0,1,1,505665.0
declaration 8721,104.41386177014262,1,0,0,0,1,2,1,292537.0
declaration 74493,807.933873409649,1,0,0,0,0,1,1,523090.0
declaration 74491,105.49455034966755,1,0,0,0,0,1,1,546979.0
declaration 77004,455.0176948955581,1,1,0,0,0,2,1,2001690.0
declaration 75832,192.13213658458554,1,1,0,0,0,2,1,1482908.0
declaration 74506,104.91024600809115,1,1,0,0,0,2,1,3204826.0
declaration 74343,73.68952974655502,1,0,0,0,0,1,1,282464.0
declaration 77188,4717.339943676869,1,0,0,0,0,1,1,622463.0
declaration 74351,340.12955845539983,1,1,0,0,0,2,1,633462.0
declaration 77138,291.477803110207,1,1,0,0,0,2,1,269764.0
declaration 77034,637.1775695819274,1,1,0,0,0,2,1,1823951.0
declaration 77196,221.16211165605756,1,1,0,0,1,3,1,12638574.0
declaration 74745,345.7360978835379,1,1,0,0,0,2,1,1145296.0
declaration 144454,57.03411442609021,1,0,0,0,0,1,1,269552.0
declaration 144229,13.161718713713126,1,0,0,0,0,1,1,269377.0
declaration 144661,871.9638647834946,1,0,0,0,0,1,1,268536.0
declaration 144350,871.9638647834946,1,0,0,0,0,1,1,268419.0
declaration 144783,100.3581051920626,1,0,0,0,0,1,1,605751.0
declaration 144575,811.0909157325714,1,0,0,0,0,1,1,603270.0
declaration 144023,83.35755185351647,1,0,0,0,0,1,1,601983.0
declaration 144501,742.5402974319823,1,0,0,0,0,1,1,601429.0
declaration 144581,1205.3940721975605,1,0,1,0,0,2,1,598957.0
declaration 144406,514.4038397276214,1,0,0,0,0,1,1,598625.0
declaration 144790,41.678775926758235,1,0,0,0,0,1,1,598012.0
declaration 144797,13.161718713713126,1,0,0,0,0,1,1,597924.0
declaration 144810,205.6518549017676,1,0,0,0,0,1,1,597012.0
declaration 144294,332.3333975212564,1,0,0,0,0,1,1,596104.0
declaration 144507,787.5095030371688,1,0,0,0,0,1,1,595731.0
declaration 144672,1066.647620757168,1,0,0,0,0,1,1,593630.0
declaration 144679,442.01438680219917,1,0,0,0,0,1,1,592569.0
declaration 144057,153.0049800469151,1,0,0,0,0,1,1,592124.0
declaration 73170,168.21258215378117,1,1,0,0,0,2,1,713294.0
declaration 75848,421.8058209507364,1,0,0,0,0,1,1,793211.0
declaration 73998,142.3101150378045,1,1,0,0,0,2,1,281191.0
declaration 74523,523.4154423155987,1,1,0,0,0,2,1,712611.0
declaration 143924,771.6314840783662,1,1,0,0,0,2,1,787365.0
declaration 74836,810.7865115797405,1,1,0,0,0,2,1,429943.0
declaration 74008,495.83491895093425,1,0,0,0,0,1,1,457767.0
declaration 76637,1178.2132963698514,1,0,0,0,0,1,1,1504473.0
declaration 76652,1728.8108868848308,1,0,1,0,0,2,1,1482914.0
declaration 73182,868.9837028295675,1,0,0,0,0,1,1,608424.0
declaration 76178,981.7378983805406,1,0,0,0,0,1,1,876041.0
declaration 77213,546.7520505223684,1,0,0,0,0,1,1,870189.0
declaration 76358,35.05491615789348,1,0,0,0,0,1,1,785173.0
declaration 74549,436.3552250101964,1,0,0,0,0,1,1,786304.0
declaration 144879,0.0,0,0,0,0,0,0,0,0.0
declaration 74022,79.40632377567884,1,1,0,0,0,2,1,881602.0
declaration 75135,289.1709217631373,1,1,0,0,0,2,1,1142375.0
declaration 77221,419.6882589002159,1,0,0,0,0,1,1,460037.0
declaration 76366,406.9704328729366,1,0,0,0,0,1,1,459552.0
declaration 76436,337.78736061369784,1,1,0,0,0,2,1,794334.0
declaration 144687,162.08828073559,1,0,0,0,0,1,1,628155.0
declaration 75935,302.06451928026377,1,1,0,0,0,2,1,612417.0
declaration 75933,48.91733105753259,1,1,0,0,0,2,1,267647.0
declaration 77619,915.3571778668792,1,1,0,0,0,2,1,1060236.0
declaration 75949,1168.6509407884446,1,0,1,0,0,2,1,2930143.0
declaration 144693,91.58362604958717,1,0,0,0,0,1,1,935897.0
declaration 144065,20.839387963379117,1,0,0,0,0,1,1,935514.0
declaration 143803,530.8559881197627,1,0,0,0,0,1,1,935349.0
declaration 144107,164.52148392141407,1,0,0,0,0,1,1,935078.0
declaration 144832,14.258528606522553,1,0,0,0,0,1,1,934893.0
declaration 144318,288.46100180887936,1,0,0,0,0,1,1,933620.0
declaration 144237,603.245441045185,1,0,0,0,0,1,1,932657.0
declaration 73310,513.9025705383827,1,1,0,0,0,2,1,1196212.0
declaration 144974,272.393876462413,1,1,0,0,0,2,1,875094.0
declaration 73327,2559.330481922457,1,0,1,0,0,2,1,264323.0
declaration 73194,430.85922295849593,1,1,0,0,0,2,1,2008966.0
declaration 75963,446.276031312943,1,1,0,0,0,2,1,2094743.0
declaration 144244,14.807006898418065,1,1,0,0,0,2,1,782630.0
declaration 74673,1261.8975315613086,1,0,0,0,0,1,1,524638.0
declaration 144113,578.64877695988,1,1,0,0,0,2,1,718388.0
declaration 73219,51.84517971330086,1,1,0,0,0,2,1,2947224.0
declaration 75985,46.51690361886625,1,0,0,0,0,1,1,699241.0
declaration 73232,460.6564986211817,1,0,0,0,0,1,1,1127462.0
declaration 74229,204.1304573218068,1,1,0,0,0,2,1,1235978.0
declaration 74361,1085.4666626672843,1,0,0,0,0,1,1,546573.0
declaration 77806,293.78166098160364,1,1,0,0,0,2,1,1732650.0
declaration 143878,1408.196503118805,1,1,0,0,0,2,1,612686.0
declaration 74681,492.06016266998597,1,1,0,0,0,2,1,1567135.0
declaration 73240,302.1854405111465,1,0,0,0,0,1,1,455803.0
declaration 77816,491.22149568295663,1,0,0,0,0,1,1,1739872.0
declaration 74755,1471.2689027971032,1,1,0,0,0,2,1,2340628.0
declaration 75145,1110.875511011024,1,1,0,0,0,2,1,2341552.0
declaration 77230,1214.4812296217117,1,1,0,0,0,2,1,1485141.0
declaration 77827,700.2227272815406,1,1,1,0,0,3,1,1238258.0
declaration 76851,771.5707420156019,1,0,0,0,0,1,1,593409.0
declaration 144852,653.402924086331,1,0,0,0,0,1,1,891002.0
declaration 76742,721.8620617233818,1,0,0,0,0,1,1,620550.0
declaration 77272,354.14787005885705,1,0,0,0,0,1,1,621464.0
declaration 74243,194.23187632515487,1,1,0,0,0,2,1,2694833.0
declaration 74559,279.7994260753943,1,1,0,0,0,2,1,1231979.0
declaration 78004,492.3123468119478,1,0,0,0,0,1,1,866505.0
declaration 77287,57.68291308917396,1,0,0,0,0,1,1,1064489.0
declaration 143953,435.36424641204,1,0,0,0,0,1,1,608472.0
declaration 74569,252.38290303371417,1,1,0,0,0,2,1,1492429.0
declaration 74583,2065.0302424314773,1,1,1,0,0,3,1,1220166.0
declaration 73447,1157.330142799039,1,1,0,0,0,2,1,7196336.0
declaration 74252,0.0,1,0,1,0,0,2,0,0.0
declaration 78012,291.2358870911775,1,1,0,0,0,2,1,1149908.0
declaration 144734,393.1787500404446,1,1,0,0,0,2,1,528977.0
declaration 74199,2134.018567384859,1,0,1,0,0,2,1,2339925.0
declaration 76378,1697.4313876963809,1,0,1,0,0,2,1,1669007.0
declaration 74937,342.2395472620643,1,1,0,0,0,2,1,447810.0
declaration 78022,860.1841865394758,1,1,0,0,0,2,1,1664472.0
declaration 76750,338.41532143929817,1,0,0,0,0,1,1,885194.0
declaration 74211,128.61730020674298,1,1,1,0,0,3,1,3115002.0
declaration 144816,2922.9705466352975,1,1,1,0,0,3,1,444293.0
declaration 78035,414.26396830862353,1,1,0,0,0,2,1,518446.0
declaration 76760,355.0951791407845,1,1,0,0,0,2,1,2351833.0
declaration 78045,147.58927909225272,1,1,0,0,0,2,1,370258.0
declaration 76465,482.8114401312454,1,1,0,0,0,2,1,606591.0
declaration 74849,554.7185973014956,1,0,1,0,0,2,1,1998937.0
declaration 74865,33.923151304682534,1,1,0,0,0,2,1,375606.0
declaration 144356,1578.871364467805,1,0,0,0,0,1,1,343724.0
declaration 74605,1233.3661692921187,1,1,0,0,0,2,1,284153.0
declaration 74765,408.65711003351333,1,1,0,0,0,2,1,1142235.0
declaration 143885,208.19976595565657,1,1,0,0,0,2,1,891761.0
declaration 78055,262.61501911346295,1,1,0,0,0,2,1,2177758.0
declaration 74260,489.5120816547854,1,1,0,0,0,2,1,540071.0
declaration 144326,421.0453672919924,1,1,0,0,0,2,1,363962.0
declaration 77480,3742.222018315328,1,0,1,0,0,2,1,543096.0
declaration 77490,1556.2261325797017,1,0,1,0,0,2,1,704211.0
declaration 74879,645.0172714042257,1,1,0,0,0,2,1,3990481.0
declaration 144461,252.40612870766,1,1,0,0,0,2,1,625263.0
declaration 144758,3735.4263617043457,1,0,1,0,0,2,1,1213439.0
declaration 75371,3636.3284626402906,1,0,1,0,0,2,1,788048.0
declaration 75215,111.96642697908064,1,1,0,0,0,2,1,4243374.0
declaration 75213,230.03003562533894,1,1,0,0,0,2,1,2764055.0
declaration 76475,276.23252001946753,1,0,0,0,0,1,1,370583.0
declaration 85687,69.70719675698393,1,0,0,0,0,1,1,357665.0
declaration 75231,471.5327315070691,1,1,0,0,0,2,1,445057.0
declaration 75243,92.19921751585107,1,0,0,0,0,1,1,9317964.0
declaration 74269,129.76713908589267,1,1,0,0,0,2,1,962205.0
declaration 76788,90.5970016658386,1,1,0,0,0,2,1,1294033.0
declaration 74984,498.3495852106964,1,0,1,0,0,2,1,1216205.0
declaration 144741,1283.702136380977,1,1,0,0,0,2,1,459527.0
declaration 75257,902.1434876155324,1,1,0,0,0,2,1,551236.0
declaration 75267,415.64965850510396,1,1,0,0,0,2,1,949820.0
declaration 74369,585.434852455943,1,0,0,0,0,1,1,539916.0
declaration 75993,439.6035939055354,1,0,0,0,0,1,1,879016.0
declaration 144979,996.6407198797987,1,0,0,0,0,1,1,969273.0
declaration 74896,999.2595690755516,1,1,0,0,0,2,1,618177.0
declaration 144926,315.34683214362286,1,1,0,0,0,2,1,619334.0
declaration 144912,504.7687488463737,1,1,0,0,0,2,1,618942.0
declaration 77710,475.0947055481677,1,1,0,0,0,2,1,1322813.0
