,Amount,SUPERVISOR Involved,PRE_APPROVER Involved,DIRECTOR Involved,BUDGET_OWNER Involved,ADMINISTRATOR Involved,Number Of Levels,APPROVED/REJECTED,Throughput Time
declaration 4548,35.90914568345831,1,0,1,1,1,4,1,880244.0
declaration 14198,63.72299788592048,1,0,1,1,1,4,1,285573.0
declaration 4546,79.00012050360829,1,0,1,1,1,4,1,704603.0
declaration 64097,45.65438515847704,1,0,1,1,1,4,1,108380.0
declaration 15219,76.36196344722673,1,0,1,1,1,4,1,424759.0
declaration 64099,45.65438515847704,1,0,1,1,1,4,1,702984.0
declaration 14195,63.72299788592048,1,0,1,1,1,4,1,437922.0
declaration 64101,45.65438515847704,1,0,1,1,1,4,1,454131.0
declaration 4550,39.50006025180414,1,0,1,1,1,4,1,787141.0
declaration 16322,1353.5524100159907,1,0,0,0,1,2,1,352136.0
declaration 67636,1708.002676484196,1,0,0,0,1,2,1,1230609.0
declaration 3855,3043.949752362719,1,0,1,0,1,3,1,1413485.0
declaration 9206,1735.5186013543455,1,0,0,0,1,2,1,616051.0
declaration 5963,1916.9842413998329,1,0,0,0,1,2,1,1814815.0
declaration 9208,0.0,1,0,0,0,1,2,0,582647.0
declaration 7194,662.16304302495,1,0,0,0,1,2,1,347001.0
declaration 53983,160.98793455282063,1,0,0,0,1,2,1,1206163.0
declaration 53993,372.23907039136355,1,0,0,1,1,3,1,589705.0
declaration 6127,374.42442696900366,1,0,0,1,1,3,1,588930.0
declaration 6615,529.5847439814506,1,0,0,1,1,3,1,501260.0
declaration 22586,3854.7875730366013,1,0,1,0,1,3,1,1139632.0
declaration 4529,702.2279136150185,1,0,0,0,1,2,1,337782.0
declaration 16291,34.26894026832912,1,0,0,1,1,3,1,851403.0
declaration 8800,1122.3077937877786,1,0,0,1,1,3,1,3266480.0
declaration 1265,233.2891322002705,1,0,0,0,1,2,1,439191.0
declaration 1838,1486.5481132949183,1,0,0,0,1,2,1,1193263.0
declaration 2428,959.7943607620542,1,0,0,1,1,3,1,23518178.0
declaration 21419,0.0,1,0,0,1,1,3,1,984090.0
declaration 22600,173.1094169152931,1,0,0,1,1,3,1,1233651.0
declaration 145859,176.03429115146525,1,0,0,0,1,2,1,344925.0
declaration 65545,1007.148727636699,1,0,0,1,1,3,1,1286178.0
declaration 5008,1128.0570392930788,1,0,0,0,1,2,1,615150.0
declaration 7100,188.9288408525991,1,0,0,1,1,3,1,1656669.0
declaration 8824,1413.4225576743956,1,0,0,1,1,3,1,1668790.0
declaration 2978,3049.7714108741666,1,0,0,1,1,3,1,634999.0
declaration 65971,639.1685253570472,1,0,0,1,1,3,1,3806178.0
declaration 145087,932.461578126003,1,0,0,1,1,3,1,892518.0
declaration 146444,1446.1031799751418,1,0,0,0,1,2,1,633143.0
declaration 7205,0.0,1,0,0,0,1,2,0,0.0
declaration 145493,3203.5109324356226,1,0,0,1,1,3,1,1496432.0
declaration 7058,1576.5999301412462,1,0,1,1,1,4,1,1496730.0
declaration 41373,3803.8387642234543,1,0,1,0,1,3,1,611567.0
declaration 7213,23.635064500260533,1,0,0,1,1,3,1,1222775.0
declaration 7226,45.849246220310775,1,0,0,1,1,3,1,1223304.0
declaration 146451,3168.7554071281447,1,0,1,0,1,3,1,1494551.0
declaration 145931,206.20174917053978,1,0,0,1,1,3,1,1494283.0
declaration 7238,497.98188036771995,1,0,0,0,1,2,1,715954.0
declaration 36830,1165.186147209793,1,0,0,0,1,2,1,1304597.0
declaration 146459,331.37553421888674,1,0,0,0,1,2,1,1234278.0
declaration 7248,886.9919229646227,1,0,0,0,1,2,1,893731.0
declaration 145095,1160.4553969343526,1,0,0,0,1,2,1,1234004.0
declaration 2990,630.626445212688,1,0,0,1,1,3,1,881981.0
declaration 146234,302.2589964719503,1,0,0,0,1,2,1,1491985.0
declaration 7261,109.81054564531281,1,0,0,1,1,3,1,1236707.0
declaration 22616,58.836020667914305,1,0,0,0,1,2,1,932666.0
declaration 145102,476.0046288705253,1,0,0,1,1,3,1,627682.0
declaration 43538,292.01553043274436,1,0,0,0,1,2,1,934271.0
declaration 145942,510.7215259704415,1,0,0,1,1,3,1,885829.0
declaration 16309,79.40632377567884,1,0,0,0,1,2,1,803667.0
declaration 16307,98.0425018046647,1,0,0,0,1,2,1,451739.0
declaration 8849,392.2802673278743,1,0,0,1,1,3,1,629827.0
declaration 42577,1169.412326574062,1,0,0,0,1,2,1,529348.0
declaration 7079,1528.4617557013462,1,0,1,1,1,4,1,5292238.0
declaration 7273,1974.4498633033518,1,0,0,1,1,3,1,5307450.0
declaration 6639,36.303851707265956,1,0,0,0,1,2,1,887584.0
declaration 145110,847.5144691875544,1,0,0,0,1,2,1,881238.0
declaration 6138,636.595881473317,1,0,0,0,1,2,1,2526066.0
declaration 65557,753.944934470896,1,0,0,0,1,2,1,529076.0
declaration 7289,685.2041591167356,1,0,0,0,1,2,1,520381.0
declaration 7116,178.8329574043923,1,0,1,1,1,4,1,798262.0
declaration 7714,2434.88199201457,1,0,1,0,1,3,1,1495860.0
declaration 6655,1538.271245285052,1,0,0,0,1,2,1,524984.0
declaration 145864,223.4389746703818,1,0,0,1,1,3,1,2429564.0
declaration 22626,402.28726951605296,1,0,0,1,1,3,1,879306.0
declaration 145117,73.39405404989046,1,0,0,0,1,2,1,615047.0
declaration 146466,456.5614292750669,1,0,0,0,1,2,1,614707.0
declaration 55481,249.01089474466528,1,0,0,0,1,2,1,1825459.0
declaration 36847,198.88346647803849,1,0,0,1,1,3,1,1063081.0
declaration 65572,845.4677094586796,1,0,0,0,1,2,1,4150497.0
declaration 67032,56.94164529805533,1,0,1,1,1,4,1,205281.0
declaration 145950,491.55033346490313,1,0,0,0,1,2,1,1209804.0
declaration 146473,676.2456477746714,1,0,0,0,1,2,1,1468709.0
declaration 145872,177.47266383562646,1,0,0,1,1,3,1,1203269.0
declaration 7729,721.4002573374879,1,0,0,1,1,3,1,871180.0
declaration 31172,955.5290036997661,1,0,0,0,1,2,1,453833.0
declaration 42651,176.37053393270102,1,0,0,0,1,2,1,837949.0
declaration 1287,231.6976772403628,1,0,0,1,1,3,1,804329.0
declaration 4171,132.12802031946265,1,0,0,1,1,3,1,541092.0
declaration 4604,2852.5735330346492,1,0,0,1,1,3,1,3653504.0
declaration 7741,332.3977257129809,1,0,0,1,1,3,1,1225129.0
declaration 16332,1421.5060582044355,1,0,0,0,1,2,1,621461.0
declaration 39876,965.7215760499973,1,0,0,0,1,2,1,280632.0
declaration 41386,1052.180732466528,1,0,0,1,1,3,1,1141538.0
declaration 145961,700.2455601360708,1,0,0,1,1,3,1,1150317.0
declaration 145125,882.1365511363729,1,0,0,0,1,2,1,1150215.0
declaration 14421,543.3080188679722,1,0,0,1,1,3,1,891906.0
declaration 42591,1060.7346671941843,1,0,0,1,1,3,1,953509.0
declaration 7762,121.75657421623471,1,0,0,1,1,3,1,628486.0
declaration 7786,1804.985349930363,1,0,0,1,1,3,1,1369400.0
declaration 54004,362.32035881058744,1,0,0,0,1,2,1,629058.0
declaration 7134,886.5449895548317,1,0,0,0,1,2,1,450745.0
declaration 6672,595.0688926984119,1,0,0,1,1,3,1,845870.0
declaration 7799,184.69256429453264,1,0,0,0,1,2,1,281481.0
declaration 7809,245.14844449561866,1,0,0,0,1,2,1,270161.0
declaration 145476,2315.606590335661,1,0,1,0,1,3,1,1138617.0
declaration 21932,160.47546202180303,1,0,0,0,1,2,1,713705.0
declaration 7821,108.92371809056812,1,0,0,1,1,3,1,1119937.0
declaration 7144,466.21072359011896,1,0,0,0,1,2,1,1234646.0
declaration 54016,290.9023749243472,1,0,0,0,1,2,1,541341.0
declaration 3006,209.05274637463052,1,0,0,1,1,3,1,1380241.0
declaration 4627,170.55111728153958,1,0,0,0,1,2,1,546575.0
declaration 7841,812.5975543470076,1,0,1,1,1,4,1,1483035.0
declaration 3018,3654.654055331798,1,0,1,0,1,3,1,636599.0
declaration 8879,381.39312702587256,1,0,0,1,1,3,1,702623.0
declaration 8891,2819.24818277345,1,0,0,0,1,2,1,1225796.0
declaration 6148,690.0156491814724,1,0,0,0,1,2,1,545351.0
declaration 146241,3165.205475514979,1,0,0,0,1,2,1,774353.0
declaration 6159,73.28068425630606,1,0,0,0,1,2,1,797030.0
declaration 8040,77.79934645059657,1,0,0,0,1,2,1,611082.0
declaration 145177,684.9690775704158,1,0,0,1,1,3,1,1353281.0
declaration 145185,116.42935120392335,1,0,0,0,1,2,1,1093697.0
declaration 145192,525.9563324985857,1,0,0,1,1,3,1,1068902.0
declaration 37963,226.51087252201643,1,0,0,0,1,2,1,631791.0
declaration 145501,383.206805444903,1,0,0,1,1,3,1,1927044.0
declaration 39886,365.6294553744023,1,0,0,0,1,2,1,890788.0
declaration 4643,482.2200002018968,1,0,0,0,1,2,1,112807.0
declaration 22390,336.70783488935353,1,0,0,0,1,2,1,511382.0
declaration 30714,40.99794895222111,1,0,1,0,1,3,1,440434.0
declaration 9712,432.47061907649703,1,0,0,1,1,3,1,543553.0
declaration 9732,2311.5646868686786,1,0,1,1,1,4,1,3131676.0
declaration 8302,805.1423336986286,1,0,0,0,1,2,1,2703327.0
declaration 65989,959.454042840761,1,0,0,1,1,3,1,1558145.0
declaration 146248,500.04818083121927,1,0,0,0,1,2,1,706259.0
declaration 8317,1307.365839962466,1,0,0,1,1,3,1,609703.0
declaration 8339,3034.9228945839486,1,0,1,1,1,4,1,1308785.0
declaration 3030,216.64468464797443,1,0,0,1,1,3,1,883150.0
declaration 146255,306.6306723806331,1,0,0,1,1,3,1,1044987.0
declaration 145509,346.6259774737591,1,0,0,1,1,3,1,1043951.0
declaration 7167,609.7635398310631,1,0,0,1,1,3,1,7238822.0
declaration 9750,4228.25237125329,1,0,1,0,1,3,1,705738.0
declaration 39898,226.6942835725561,1,0,0,0,1,2,1,866841.0
declaration 9762,528.4065167547667,1,0,0,0,1,2,1,2957492.0
declaration 30730,234.3762715996879,1,0,0,0,1,2,1,525543.0
declaration 21959,1381.9279128230733,1,0,0,0,1,2,1,505573.0
declaration 54033,249.28839821433908,1,0,0,0,1,2,1,691174.0
declaration 8428,140.99893864947623,1,0,0,0,1,2,1,3702986.0
declaration 7499,178.2506690088266,1,0,0,0,1,2,1,462020.0
declaration 30746,300.24443414526104,1,0,0,0,1,2,1,529130.0
declaration 3045,628.7471452794051,1,0,1,0,1,3,1,634141.0
declaration 9780,681.4902849655506,1,0,0,1,1,3,1,456051.0
declaration 3063,511.2933950351022,1,0,0,0,1,2,1,632566.0
declaration 54043,1737.1614782262413,1,0,0,0,1,2,1,1065908.0
declaration 9801,712.6089296134384,1,0,0,0,1,2,1,1482559.0
declaration 146263,180.88459691833486,1,0,0,1,1,3,1,624824.0
declaration 66001,372.91450565740433,1,0,0,0,1,2,1,291774.0
declaration 43551,1459.7503242013836,1,0,0,1,1,3,1,788599.0
declaration 54057,1643.2332260212625,1,0,1,0,1,3,1,638147.0
declaration 43563,1200.790917610236,1,0,0,0,1,2,1,6654671.0
declaration 8356,661.746079079585,1,0,0,0,1,2,1,2392326.0
declaration 16344,2408.163328874374,1,0,1,1,1,4,1,1220148.0
declaration 145880,1073.5270086225298,1,0,0,1,1,3,1,1570385.0
declaration 145888,889.5222894108571,1,0,0,0,1,2,1,1223130.0
declaration 9818,100.43541962703608,1,0,0,0,1,2,1,763151.0
declaration 4654,206.2162665459779,1,0,0,1,1,3,1,879176.0
declaration 9828,1415.894452303094,1,0,0,0,1,2,1,1708120.0
declaration 39911,21.865510139146384,1,0,0,1,1,3,1,1495799.0
declaration 65593,404.407852833931,1,0,0,0,1,2,1,2528787.0
declaration 8376,273.4851579102924,1,0,0,1,1,3,1,620125.0
declaration 146048,250.10592856674666,1,0,0,1,1,3,1,1219226.0
declaration 16638,408.2073249528053,1,0,0,1,1,3,1,961260.0
declaration 31189,621.9595242008197,1,0,0,0,1,2,1,618020.0
declaration 65606,644.8273613239035,1,0,0,0,1,2,1,855342.0
declaration 39927,1353.7946207759549,1,0,1,1,1,4,1,505501.0
declaration 5973,44.439036264561366,1,0,0,1,1,3,1,193220.0
declaration 41401,439.69761672726025,1,0,0,1,1,3,1,448876.0
declaration 8396,3442.3048419798597,1,0,1,0,1,3,1,545331.0
declaration 5985,522.9753174948656,1,0,0,0,1,2,1,1129857.0
declaration 16650,199.59166599479374,1,0,0,0,1,2,1,538801.0
declaration 146056,0.0,0,0,0,0,1,1,0,267394.0
declaration 6175,1013.772339352011,1,0,0,0,1,2,1,592801.0
declaration 146480,655.5218071273501,1,0,0,1,1,3,1,531731.0
declaration 9838,565.4615675525413,1,0,0,1,1,3,1,1031247.0
declaration 6188,124.22493177850298,1,0,0,1,1,3,1,2090078.0
declaration 146488,882.0576050350068,1,0,0,0,1,2,1,1135235.0
declaration 146271,200.52311837417014,1,0,0,1,1,3,1,1739833.0
declaration 146498,0.0,0,0,0,0,1,1,0,335065.0
declaration 145201,491.3683855195795,1,0,0,0,1,2,1,873040.0
declaration 145209,53.62220469963796,1,0,0,0,1,2,1,1476433.0
declaration 6199,70.98977194674544,1,0,0,0,1,2,1,2163066.0
declaration 145217,518.3997811219388,1,0,0,1,1,3,1,1731056.0
declaration 145225,484.1345503868,1,0,0,1,1,3,1,1727970.0
declaration 41412,447.0569275090489,1,0,0,0,1,2,1,1133928.0
declaration 30759,1650.8457502497517,1,0,1,0,1,3,1,528487.0
declaration 9856,58.193078394703676,1,0,0,1,1,3,1,1023259.0
declaration 8418,1201.1817979604234,1,0,0,0,1,2,1,3699652.0
declaration 8408,292.3522155814253,1,0,0,0,1,2,1,1486090.0
declaration 7561,444.27462206053906,1,0,0,0,1,2,1,596581.0
declaration 9868,803.9659190050844,1,0,0,0,1,2,1,281369.0
declaration 145517,1481.7288647689784,1,0,0,0,1,2,1,338139.0
declaration 55491,11.724673044789107,1,0,0,0,1,2,1,361267.0
declaration 41428,81.5644080357187,1,0,0,0,1,2,1,350683.0
declaration 145524,22.931620361331795,1,0,0,0,1,2,1,672306.0
declaration 1300,410.4494094450874,1,0,0,0,1,2,1,782832.0
declaration 22652,102.31324098556016,1,0,0,0,1,2,1,538711.0
declaration 42201,279.0602695041416,1,0,0,1,1,3,1,1132044.0
declaration 6683,221.87434776801442,1,0,0,1,1,3,1,1143347.0
declaration 2402,249.5911458158686,1,0,0,1,1,3,1,1142615.0
declaration 6253,718.9067249083752,1,0,0,0,1,2,1,545379.0
declaration 55503,811.3729630234621,1,0,0,0,1,2,1,2877278.0
declaration 55516,80.25865246781154,1,0,0,1,1,3,1,1480181.0
declaration 145235,429.8804063829256,1,0,0,1,1,3,1,630313.0
declaration 66022,0.0,1,0,0,1,1,3,0,268453.0
declaration 66019,0.0,1,0,0,1,1,3,0,1576604.0
declaration 66020,1175.1019267038191,1,0,0,1,1,3,1,1555489.0
declaration 21983,1244.8809957974593,1,0,0,0,1,2,1,1148699.0
declaration 6237,793.4343436490535,1,0,1,1,1,4,1,696998.0
declaration 6267,288.70456921575186,1,0,0,0,1,2,1,286693.0
declaration 55255,3297.7376379057696,1,0,1,0,1,3,1,697947.0
declaration 6762,201.87002884343636,1,0,0,1,1,3,1,277083.0
declaration 26818,883.8295946276763,1,0,0,1,1,3,1,1135690.0
declaration 145529,4100.8555136726545,1,0,1,0,1,3,1,1832934.0
declaration 146502,443.5700253897229,1,0,0,1,1,3,1,881051.0
declaration 31205,1490.1406290475893,1,0,1,0,1,3,1,616934.0
declaration 145994,169.1246785056975,1,0,0,1,1,3,1,1483369.0
declaration 9884,529.5859266155468,1,0,0,0,1,2,1,1064243.0
declaration 31942,291.3892696480147,1,0,0,0,1,2,1,283776.0
declaration 146510,457.12194475839595,1,0,0,0,1,2,1,615078.0
declaration 64026,421.16826530821527,1,0,0,0,1,2,1,624651.0
declaration 6553,258.49180842604176,1,0,0,1,1,3,1,1217601.0
declaration 146002,556.8287744746468,1,0,0,1,1,3,1,1478066.0
declaration 146639,116.38615678940735,1,0,0,1,1,3,1,1217240.0
declaration 145243,1580.5230695151117,1,0,0,0,1,2,1,1216968.0
declaration 6569,1080.021546237973,1,0,0,1,1,3,1,873567.0
declaration 145537,536.4585652296265,1,0,0,0,1,2,1,1214662.0
declaration 146613,593.4701543590932,1,0,0,0,1,2,1,609033.0
declaration 26830,1040.5879993347519,1,0,0,0,1,2,1,442389.0
declaration 145254,2348.3249759201653,1,0,1,0,1,3,1,607018.0
declaration 8461,805.5836085593993,1,0,0,0,1,2,1,3478519.0
declaration 8483,877.936291143969,1,0,0,0,1,2,1,2100880.0
declaration 6774,903.0980349071003,1,0,0,0,1,2,1,1316828.0
declaration 66068,136.50225382044394,1,0,0,0,1,2,1,281470.0
declaration 8502,521.2006985542362,1,0,0,1,1,3,1,964566.0
declaration 6791,146.95443463385826,1,0,0,1,1,3,1,620352.0
declaration 65627,609.504147090683,1,0,0,0,1,2,1,1484169.0
declaration 43580,732.503534104566,1,0,1,1,1,4,1,2094819.0
declaration 61814,112.5590264955672,1,0,0,1,1,3,1,511879.0
declaration 61817,0.0,1,0,0,1,1,3,0,536901.0
declaration 61816,0.0,1,0,0,1,1,3,0,536399.0
declaration 8524,241.73749797570602,1,0,0,0,1,2,1,1124519.0
declaration 66748,51.719015643154755,1,0,0,0,1,2,1,620672.0
declaration 8550,903.8258000232871,1,0,0,1,1,3,1,627953.0
declaration 66111,630.2803073313688,1,0,0,1,1,3,1,533890.0
declaration 8538,490.5393976143685,1,0,0,1,1,3,1,1142982.0
declaration 14449,190.87086016008064,1,0,0,1,1,3,1,545553.0
declaration 6806,415.7815932697934,1,0,0,1,1,3,1,1571761.0
declaration 65642,2279.2022577035045,1,0,0,0,1,2,1,192655.0
declaration 9894,593.8991083313126,1,0,0,1,1,3,1,882791.0
declaration 14168,1977.0104363852108,1,0,1,0,1,3,1,1299901.0
declaration 145544,1573.4267454735837,1,0,0,0,1,2,1,1144893.0
declaration 146517,1349.4100576988887,1,0,0,0,1,2,1,540050.0
declaration 22002,2336.22978180054,1,0,1,0,1,3,1,959881.0
declaration 145551,1886.4760232669653,1,0,0,0,1,2,1,1402352.0
declaration 7307,628.6815060954139,1,0,0,1,1,3,1,1824656.0
declaration 30773,784.6870909032444,1,0,0,0,1,2,1,360675.0
declaration 22668,1423.6121843247213,1,0,1,1,1,4,1,450186.0
declaration 6582,399.43145772025,1,0,0,1,1,3,1,2344307.0
declaration 146553,1395.9972298122852,1,0,0,0,1,2,1,790447.0
declaration 145970,2504.083774028377,1,0,1,0,1,3,1,529173.0
declaration 9906,657.7450601471671,1,0,0,1,1,3,1,1843833.0
declaration 9187,5251.200971717685,1,0,1,1,1,4,1,887552.0
declaration 145558,278.172525843412,1,0,0,0,1,2,1,525500.0
declaration 145566,873.2955756584813,1,0,0,1,1,3,1,1387949.0
declaration 66085,1638.262671623023,1,0,0,0,1,2,1,288414.0
declaration 26840,517.2038478789688,1,0,0,0,1,2,1,896185.0
declaration 9221,514.3426019590805,1,0,0,1,1,3,1,2699558.0
declaration 9237,601.164898929426,1,0,0,1,1,3,1,2438101.0
declaration 146183,100.15769330570393,1,0,0,0,1,2,1,767581.0
declaration 145574,64.4739281842715,1,0,0,1,1,3,1,1367013.0
declaration 145895,84.83411603193619,1,0,0,1,1,3,1,1366421.0
declaration 22721,29.925902908123593,1,0,0,1,1,3,1,185296.0
declaration 15168,55.03235843752749,1,0,0,0,1,2,1,440876.0
declaration 55530,1391.6589939120868,1,0,0,1,1,3,1,1669052.0
declaration 9918,3356.4710396983774,1,0,1,1,1,4,1,896069.0
declaration 6597,114.98210634354845,1,0,0,1,1,3,1,617862.0
declaration 22690,483.0088405004052,1,0,0,0,1,2,1,801187.0
declaration 14182,84.37200661413354,1,0,0,0,1,2,1,525884.0
declaration 7445,1823.4427698099307,1,0,1,0,1,3,1,1580040.0
declaration 145262,567.7860496278935,1,0,0,1,1,3,1,459529.0
declaration 9265,250.29902608520948,1,0,0,0,1,2,1,1192043.0
declaration 22021,398.6762481188906,1,0,0,0,1,2,1,1068013.0
declaration 14227,635.2446037041962,1,0,0,1,1,3,1,1152056.0
declaration 22032,1718.6875885901825,1,0,0,1,1,3,1,884118.0
declaration 6695,35.556084574688924,1,0,0,1,1,3,1,887575.0
declaration 7459,3140.4926538935924,1,0,0,0,1,2,1,531250.0
declaration 7470,243.55060155544302,1,0,0,1,1,3,1,1841620.0
declaration 6822,568.8894445401376,1,0,0,1,1,3,1,1983255.0
declaration 30783,451.47726932815334,1,0,0,0,1,2,1,928399.0
declaration 26850,1717.7865087004336,1,0,0,0,1,2,1,1188461.0
declaration 6842,0.0,1,0,1,1,1,4,0,0.0
declaration 6840,1894.8980889686834,1,0,1,1,1,4,1,5100421.0
declaration 6281,333.81147124062517,1,0,0,1,1,3,1,1828214.0
declaration 7485,257.0239423312034,1,0,0,0,1,2,1,628797.0
declaration 22702,322.70212876604614,1,0,0,1,1,3,1,1355608.0
declaration 145582,1723.1827923442968,1,0,0,0,1,2,1,1905604.0
declaration 61834,561.269100751601,1,0,0,0,1,2,1,529425.0
declaration 674,1959.8588767419308,1,0,0,0,1,2,1,601921.0
declaration 22069,1802.027310152496,1,0,1,1,1,4,1,2002222.0
declaration 61844,48.480577153703656,1,0,0,0,1,2,1,548416.0
declaration 146279,669.4703397735476,1,0,0,1,1,3,1,688451.0
declaration 146287,597.6971795020767,1,0,0,1,1,3,1,687281.0
declaration 55545,27.948256090963373,1,0,0,1,1,3,1,606163.0
declaration 64143,887.3354842600979,1,0,0,0,1,2,1,782023.0
declaration 6920,13.883966191918686,1,0,0,1,1,3,1,620090.0
declaration 2389,2358.6040990779584,1,0,1,0,1,3,1,1182604.0
declaration 9289,39.97899935286475,1,0,0,1,1,3,1,1143740.0
declaration 7509,495.82273740995345,1,0,0,1,1,3,1,1131650.0
declaration 9302,537.9344285023756,1,0,0,0,1,2,1,1226475.0
declaration 41444,1784.274364415673,1,0,0,1,1,3,1,515826.0
declaration 30793,404.602867299053,1,0,0,0,1,2,1,288623.0
declaration 43608,1090.5065285286253,1,0,0,0,1,2,1,1756184.0
declaration 14239,792.2801383628982,1,0,0,1,1,3,1,695233.0
declaration 9314,611.5098763021813,1,0,1,0,1,3,1,605778.0
declaration 7521,1076.7710432903523,1,0,0,1,1,3,1,1839480.0
declaration 146647,972.4040246982207,1,0,0,1,1,3,1,2180483.0
declaration 146621,1371.8139158121496,1,0,0,0,1,2,1,623670.0
declaration 686,318.497815942683,1,0,0,1,1,3,1,1210865.0
declaration 6707,350.0135880959295,1,0,0,1,1,3,1,889560.0
declaration 22086,1467.4498930300952,1,0,0,0,1,2,1,690394.0
declaration 145271,893.643599723027,1,0,0,1,1,3,1,618990.0
declaration 6297,347.8068705382083,1,0,0,1,1,3,1,896145.0
declaration 14252,41.404694276806396,1,0,0,1,1,3,1,1149608.0
declaration 64036,702.823322357551,1,0,0,1,1,3,1,2690183.0
declaration 41456,396.6817216547289,1,0,0,1,1,3,1,1723693.0
declaration 146295,382.99948651121576,1,0,0,1,1,3,1,1219852.0
declaration 31231,582.7344896684489,1,0,0,1,1,3,1,2703136.0
declaration 7537,204.85330608549918,1,0,0,0,1,2,1,888678.0
declaration 6868,78.84678894419685,1,0,0,0,1,2,1,194835.0
declaration 65671,979.8458159258029,1,0,0,1,1,3,1,1221913.0
declaration 26604,214.95065347503885,1,0,0,1,1,3,1,454974.0
declaration 9338,644.8218805584653,1,0,0,0,1,2,1,364641.0
declaration 9357,0.0,1,0,1,1,1,4,0,0.0
declaration 30803,340.758882709432,1,0,0,1,1,3,1,1124500.0
declaration 9384,3165.787400919731,1,0,0,0,1,2,1,2157272.0
declaration 7550,342.6988113481651,1,0,0,0,1,2,1,366306.0
declaration 22101,297.1431138462775,1,0,0,1,1,3,1,2080486.0
declaration 22733,527.721539452088,1,0,0,1,1,3,1,2607392.0
declaration 9400,1510.3857325826953,1,0,0,0,1,2,1,1222012.0
declaration 146303,403.44505449281934,1,0,0,1,1,3,1,879045.0
declaration 703,309.4853786224753,1,0,1,0,1,3,1,436586.0
declaration 9410,408.65167025340656,1,0,0,1,1,3,1,872816.0
declaration 41471,971.6351267211651,1,0,0,1,1,3,1,2058731.0
declaration 7320,0.0,1,0,0,0,1,2,0,0.0
declaration 2896,3316.0445004080284,1,0,1,1,1,4,1,3046381.0
declaration 64053,639.905830643153,1,0,0,0,1,2,1,369237.0
declaration 729,435.346921924369,1,0,0,1,1,3,1,804006.0
declaration 751,2342.7968207246654,1,0,0,0,1,2,1,2236068.0
